S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00006482	There is an infinite sequence of square-free integers obtained by appending one decimal digit at each step.		
S5-CLM-00006483	For fixed l>=r>=3, a threshold s_1 separates the two stated exact formulas for the Turan number forbidding an expanded K_{l+1} and an expanded matching M_{s+1}.		
S5-CLM-00006484	Every n-vertex break digraph has a quasi-kernel of size at most n/2.		
S5-CLM-00006485	The Sylow-p subgroup of the random bipartite sandpile group converges to the stated odd-p or p=2 distribution.		
S5-CLM-00006486	Every principal downset in the permutation-pattern poset is rank-unimodal.		
S5-CLM-00006487	For every fixed k at least six, the maximum number of k-holes is O_k(n^ceiling(k/3)).		
S5-CLM-00006488	For sparse Erdos-Renyi graphs and fixed power r, the chromatic number of the graph power is of the same order as the larger of its clique number and n over its independence number.		
S5-CLM-00006489	For every fixed r, N(n,r) is asymptotic to M(n,r) as n grows.		
S5-CLM-00006490	In the specified dimension band, the canonical affine-plus-low-threshold part of every bounded Lipschitz two-layer network satisfies the stated high-probability Rademacher multiplier bound epsilon n/4.		
S5-CLM-00006491	Every tree has a near alpha-valuation.		
S5-CLM-00006492	Every graph in the union of the stated even-hole classes is 3-colorable.		
S5-CLM-00006493	For every n at least two, the pure Morse-matching complexes of the n-simplex and its boundary are homotopy equivalent.		
S5-CLM-00006494	The graphical Stirling-number sequence of every planar graph is unimodal.		
S5-CLM-00006495	The largest critical-set size in Latin squares satisfies the stated subquadratic upper bound.		
S5-CLM-00006496	Every projection of an unconditional convex body has volume at most 2^n times its positive-orthant cap projection.		
S5-CLM-00006497	A tree is determined up to isomorphism by its Laplacian spectrum together with its (n-2,2) support-forest profile.		
S5-CLM-00006498	Every (r-1)-connected K_{1,r}-free split graph is Hamiltonian.		
S5-CLM-00006499	For every nontrivial strong Fraïssé class, one Borel code separates all associated Cohen generics from all compatible invariant-measure-random generics.		
S5-CLM-00006500	For every odd prime q with S(q) nonempty, some prime p≡1 mod q has z(p) dividing π(q).		
S5-CLM-00006501	For each fixed k>=2, the Boolean-Eulerian sequence boel(n,k), n>=k, is log-concave.		
S5-CLM-00006502	The partition coefficients c(n) satisfy the three displayed infinite families of mod-4 and mod-8 congruences.		
S5-CLM-00006503	The stated rational system has solutions only at x=(r-1)^2/2, where the solution is unique up to scaling and permutation and is the regular root-of-unity configuration.		
S5-CLM-00006504	Every positive quasimodular form has a positive-coefficient support of natural density at least one-half.		
S5-CLM-00006505	The class of every two-row Springer-fiber component is obtained by the stated nested-cup divided-difference product applied to the longest Schubert polynomial.		
S5-CLM-00006506	Every sufficiently large 2-modular witness contains a 4-modular witness of exactly the prescribed size.		
S5-CLM-00006507	Every path-free complex of a complete multipartite graph is homotopy equivalent to a wedge of spheres.		
S5-CLM-00006508	The dihedral-symmetric-group characters satisfy Lambda times Sigma equals Delta.		
S5-CLM-00006509	An odd squarefree composite with phi(n)/2 Euler liars is a Carmichael number.		
S5-CLM-00006510	The equilibrium measure of the rotationally symmetric Riesz gas is supported in R^d exactly when a is at least the critical value.		
S5-CLM-00006511	Star-shaped manifolds with two-sided sectional-curvature bounds satisfy the stated positive Kuttler-Sigillito-type lower bound for differential-form eigenvalues.		
S5-CLM-00006512	The maximum packing quantity M_P(n)(n) is asymptotic to n^3 divided by 6 log n.		
S5-CLM-00006513	For every odd prime p, the stated transversal difference number equals (2p-1)^2.		
S5-CLM-00006514	If a permutation contains the pattern 45312, then its Kazhdan-Lusztig basis element has no reversal factorization.		
S5-CLM-00006515	A meld of losing thick hooks is losing.		
S5-CLM-00006516	The proposed triod and clique-triod weak-retract condition exactly characterizes range in connected chordal graphs.		
S5-CLM-00006517	For every k>=2 and d, the monochromatic-line density parameter D(k,[k]^d) equals 1-2/k.		
S5-CLM-00006518	Among connected n^2-vertex induced square-grid subgraphs, the n-by-n square maximizes spanning-tree count.		
S5-CLM-00006519	The Morse-Novikov number of a connected sum of links, for a regular class with regular restrictions, is the sum of the two restricted Morse-Novikov numbers.		
S5-CLM-00006520	For a qualifying triangular partition, its specialized A-polynomial equals the stated weighted nu-Tamari interval enumerator and is Schur-positive.		
S5-CLM-00006521	For every positive p, the critical L^p-mean meta-Fibonacci recursion satisfies Q(n)~√(2n).		
S5-CLM-00006522	For j≫k>0, the stated C2-equivariant Adams differential is governed by the algebraic Mahowald invariant with the tabulated stem and coweight.		
S5-CLM-00006523	Whenever Ψ is injective, it is a poset isomorphism onto its image.		
S5-CLM-00006524	For all sufficiently large n, M_3(n)=binom(n-1,3)+n-3.		
S5-CLM-00006525	The specified primary-branch truncation of a one-node column family cannot decrease the DTWH submatrix norm.		
S5-CLM-00006526	When |P(s)|=1, every relevant nonsquare has a unique Delta-primitive decomposition.		
S5-CLM-00006527	Coarse homotopy groups are represented by base-ray-preserving coarse maps from the coarse sphere model.		
S5-CLM-00006528	For every two-row standard Young tableau sigma, the corresponding ideal I_sigma is prime.		
S5-CLM-00006529	The spectral-order comparison constant c_vee(d) can be chosen equal to one in every dimension.		
S5-CLM-00006530	The shifted Plucker-value sequence is log-concave after its initial zeros.		
S5-CLM-00006531	The discriminant of a random symmetric 0–1 matrix obeys the stated local divisibility limits and prime-factorized odd-square-free limit.		
S5-CLM-00006532	For k divisible by 3, no set of size at most 2k+2 doubly meets every axis-parallel or diagonal line.		
S5-CLM-00006533	Every positive weighted Bernoulli(p) sum with p at most one-third exceeds its mean with probability at least p.		
S5-CLM-00006534	Every graph satisfies lsfw(G)<=2 lrw(G)+2.		
S5-CLM-00006535	The special-cycle generating series Theta_A_n is a Chow-valued holomorphic modular form of weight 2n for SL_2(Z).		
S5-CLM-00006536	The variance of left prime truncations has the stated leading constant times log-squared ell, with an O_b(log ell) error.		
S5-CLM-00006537	In the stated generalized Kahler family, a klt central fiber with nef and big adjoint class has a neighborhood over which the total adjoint class is relatively nef and big.		
S5-CLM-00006538	The class of poset tournaments is dichromatic-number bounded.		
S5-CLM-00006539	Competing random-walk ranges in a beta-stable domain of attraction have the stated marginal and joint scaling limits.		
S5-CLM-00006540	For every admissible weight w other than six, Y_{w,2}(z) is completely positive.		
S5-CLM-00006541	The clean lexicographic five-component rank tuple has bounded-delay descent on the stated cubic Weierstrass family for a universal window.		
S5-CLM-00006542	Every additive smoothing function on cusped curves is represented uniquely by intersection with an open geodesic current.		
S5-CLM-00006543	For all g and n, every cohomology group H^k of the stable moduli space with k at most 10 is tautological.		
S5-CLM-00006544	Every class {1324} union B_i is inversion monotone.		
S5-CLM-00006545	The inversion-graph diameter of every graph is at most its maximum degree.		
S5-CLM-00006546	For a finite abelian p-group and a ring in which p is invertible, all associated operations are uniformly generated by minors of some bounded arity.		
S5-CLM-00006547	Every Macdonald adjoint L_mu^dagger preserves the integral Laurent form.		
S5-CLM-00006548	Every Master-Hit has at least one blocker.		
S5-CLM-00006549	For fixed m greater than one, the number of symmetric chain decompositions of L(m,n) grows faster than k^n for every fixed k.		
S5-CLM-00006550	The number of symmetric chain decompositions of M(n) grows faster than k^n for every fixed k.		
S5-CLM-00006551	The optimal quantum hypercontractive time grows according to the stated two-sided (p-1)^2 bounds.		
S5-CLM-00006552	The connectivity threshold for k-switch graphs of regular instances stays within a universal additive constant of 2n/(k+1).		
S5-CLM-00006553	For every d at least four, the top correction B_d^(d-2)(n) is linear with leading coefficient minus four times the Baxter number Bax(d-3).		
S5-CLM-00006554	In the stated k=Theta(sqrt(n)) range, m_k(n) has the proposed arithmetic-progression packing asymptotic.		
S5-CLM-00006555	For every k>=3, some triangle-free seed forces a k-clique in the degree-preserving game.		
S5-CLM-00006556	SETH-K-Finite equates subexponentially bounded proofs of the finite consistency statement for S+x-in-R with S proving x-in-R.		
S5-CLM-00006557	The density of non-prime endomorphisms is 3/4.		
S5-CLM-00006558	The symmetric Bernoulli walk-matrix determinant has the stated per-prime p^2-nondivisibility limits, and its limiting square-freeness probability factorizes into their product.		
S5-CLM-00006559	For each fixed reticulation number k at least two, the ratio of orchard to reticulation-visible network counts converges to a constant greater than one.		
S5-CLM-00006560	The stated restricted zero-sum sequences satisfy the MMS subset-count lower bound when n is at least (3+epsilon)k.		
S5-CLM-00006561	Infinitely many n satisfy tau(n+k) much less than k uniformly for every positive k.		
S5-CLM-00006562	The universal support-forest combinations together with the Laplacian spectrum determine all embedded forest counts, and therefore distinguish trees.		
S5-CLM-00006563	The H-free edge-subdivision problem has the stated NP-complete classification, and under ETH admits no 2^o(k) polynomial-time algorithm in those cases.		
S5-CLM-00006564	The indicated infinite-group gain-graph matroid class has infinitely many excluded minors.		
S5-CLM-00006565	The cohomology class of each two-row Springer-fiber component equals the stated monomial-cup product.		
S5-CLM-00006566	Every sufficiently large Hamiltonian P4+sP1-free graph is not uniquely Hamiltonian.		
S5-CLM-00006567	For every l, the coefficient sequence alpha_{0,l},...,alpha_{l,l} is unimodal.		
S5-CLM-00006568	The multicolor size-Ramsey number of arbitrary star forests equals the stated sum of maxima.		
S5-CLM-00006569	The loci W_{d^2}[n] are irreducible for even n and have exactly two parity components for odd n, apart from the listed exceptions.		
S5-CLM-00006570	For every g and n, the rational cycle class map for the compactified moduli space of curves is an isomorphism in codimensions k at most 5.		
S5-CLM-00006571	For every n>=1, the numerator and denominator subsum polynomials are coprime.		
S5-CLM-00006572	No infinite finitely generated solvable group satisfies a generalized identity whose length is square-free.		
S5-CLM-00006573	All stated D- and I-functions for a general n-triangulated polygon are Laurent polynomials whose coefficients are all one.		
S5-CLM-00006574	The Ruzsa number R_m equals 6 for every m at least 40.		
